deren_run_2,1,7772,7772
deren_run_4,1,15520,15520
deren_run_8,1,31088,30279.2
deren_run_16,1,62272,61712
deren_run_32,1,125696,122710
deren_run_64,1,250368,167114.4
deren_run_2,2,15744,15744
deren_run_4,2,31520,31520
deren_run_8,2,63136,62015
deren_run_16,2,126144,124173
deren_run_32,2,250496,241498.6
deren_run_64,2,501248,278760.8
deren_run_2,3,23652,23652
deren_run_4,3,47160,46397.6
deren_run_8,3,94656,92778
deren_run_16,3,188640,184788.6
deren_run_32,3,378240,315760.4
deren_run_64,3,757248,311148.8
deren_run_2,4,31584,31442
deren_run_4,4,63168,62094
deren_run_8,4,126400,123522
deren_run_16,4,253696,248715.2
deren_run_32,4,507648,418444.4
deren_run_64,4,1015808,394834.4
deren_run_2,5,39900,39740.4
deren_run_4,5,79840,79144.8
deren_run_8,5,159840,156722.4
deren_run_16,5,318240,311477.4
deren_run_32,5,635200,481164
deren_run_64,5,1262080,407387.2
deren_run_2,6,47616,47616
deren_run_4,6,95376,92748.8
deren_run_8,6,191136,188296.8
deren_run_16,6,382464,313639.6
deren_run_32,6,764160,455789.6
deren_run_64,6,1528320,383672
poseidon_run_2,1,9500,9500
poseidon_run_4,1,19000,18525
poseidon_run_8,1,38000,37430
poseidon_run_16,1,76064,72601.6
poseidon_run_32,1,152320,120523.2
poseidon_run_64,1,304640,138040
poseidon_run_2,2,19160,18968.4
poseidon_run_4,2,38320,37457.8
poseidon_run_8,2,76640,74819.8
poseidon_run_16,2,153152,149993.4
poseidon_run_32,2,305920,220931.6
poseidon_run_64,2,611840,218446
poseidon_run_2,3,28752,28752
poseidon_run_4,3,57480,57480
poseidon_run_8,3,114960,114960
poseidon_run_16,3,229920,225513.2
poseidon_run_32,3,459840,318630.8
poseidon_run_64,3,919680,322941.8
poseidon_run_2,4,38480,38480
poseidon_run_4,4,76960,76960
poseidon_run_8,4,153920,153920
poseidon_run_16,4,307840,279942
poseidon_run_32,4,615680,284944.4
poseidon_run_64,4,1231360,284559.6
poseidon_run_2,5,48280,48280
poseidon_run_4,5,96600,96600
poseidon_run_8,5,193200,189336
poseidon_run_16,5,386400,345345
poseidon_run_32,5,772800,333753
poseidon_run_64,5,1545600,339066
poseidon_run_2,6,58152,58152
poseidon_run_4,6,116400,116400
poseidon_run_8,6,232800,232800
poseidon_run_16,6,465600,398864
poseidon_run_32,6,931200,379658
poseidon_run_64,6,1862400,390716
luna_run_2,1,7400,7400
luna_run_4,1,14800,14800
luna_run_8,1,29600,29600
luna_run_16,1,59136,58396.8
luna_run_32,1,118272,90744.4
luna_run_64,1,236800,93956.4
luna_run_2,2,14880,14880
luna_run_4,2,29760,29760
luna_run_8,2,59520,59520
luna_run_16,2,119040,116733.6
luna_run_32,2,237696,156349.8
luna_run_64,2,474880,148622.6
luna_run_2,3,22380,22380
luna_run_4,3,44760,44760
luna_run_8,3,89520,89520
luna_run_16,3,179040,179040
luna_run_32,3,358080,227977.6
luna_run_64,3,716160,226411
luna_run_2,4,30000,29850
luna_run_4,4,60000,60000
luna_run_8,4,120128,117938.4
luna_run_16,4,240640,233270.4
luna_run_32,4,481280,251017.6
luna_run_64,4,962560,249513.6
luna_run_2,5,37800,37800
luna_run_4,5,75600,75600
luna_run_8,5,151040,148018.8
luna_run_16,5,301600,290290
luna_run_32,5,603200,304239
luna_run_64,5,1206400,302354
luna_run_2,6,45480,45480
luna_run_4,6,90960,88382.8
luna_run_8,6,181920,177068.8
luna_run_16,6,363840,344890
luna_run_32,6,727680,342161.2
luna_run_64,6,1456896,354535.6
dolap_run_2,1,21404,21404
dolap_run_4,1,42472,42159
dolap_run_8,1,84656,84440.8
dolap_run_16,1,168768,158659.4
dolap_run_32,1,342016,146048.8
dolap_run_64,1,682240,160705
dolap_run_2,2,42912,42912
dolap_run_4,2,84768,84409.2
dolap_run_8,2,169664,168418.6
dolap_run_16,2,339520,266734.6
dolap_run_32,2,670976,241202
dolap_run_64,2,1340928,251377.6
dolap_run_2,3,63348,63055.6
dolap_run_4,3,126864,123288.2
dolap_run_8,3,252864,249840
dolap_run_16,3,504096,318967.2
dolap_run_32,3,1013568,330593
dolap_run_64,3,2055936,332329.6
dolap_run_2,4,85568,84478
dolap_run_4,4,172000,167937.2
dolap_run_8,4,348992,305359.6
dolap_run_16,4,691840,319176.2
dolap_run_32,4,1372928,313685.6
dolap_run_64,4,2723840,301097
dolap_run_2,5,106960,105926.4
dolap_run_4,5,213440,208603
dolap_run_8,5,422000,360847.6
dolap_run_16,5,844960,337874.8
dolap_run_32,5,1686400,363216.8
dolap_run_64,5,3381120,362131.8
dolap_run_2,6,129024,128023.2
dolap_run_4,6,256752,250406.8
dolap_run_8,6,515808,379095.2
dolap_run_16,6,1032768,384660.8
dolap_run_32,6,2068224,389629
dolap_run_64,6,4111104,377832.4
